id,dateLastActivity,dueComplete,due,animal_type,label_names
5a6d054eea0086b8d596b209,2018-01-31,FALSE,2018-01-27,cat,ready to adopt
5a6e1189899dc1ca5caff197,2018-01-31,FALSE,2018-01-28,cat,vet
5a6e338962147c1a458086c2,2018-01-31,FALSE,2018-01-29,cat,ready for review
5a709fb3ced1c38cc2a08bbe,2018-01-31,TRUE,2018-01-27,cat,"ready for review, declaw only"
5a6ba97899c14486eae65fac,2018-01-31,TRUE,2018-01-26,cat,ready to adopt
5a6cf38c54a75f237aa6e487,2018-01-31,TRUE,2018-01-27,cat,ready for review
5a5efc0d28724cfc34539383,2018-01-31,FALSE,2018-01-16,cat,not utd
5a57b426801c9376b12b7c82,2018-01-31,FALSE,2018-01-11,cat,ready for review
5a6a2f7276848a98ea8d7f76,2018-01-31,TRUE,2018-01-25,cat,"questions, ready for review"
5a67b95ca8e0fc805006dd9d,2018-01-31,TRUE,2018-01-23,cat,ready to adopt
5a692d83f4ffb3dfcdb29982,2018-01-31,TRUE,2018-01-24,cat,ready to adopt
5a675c12045c4ae42dbc1dad,2018-01-30,TRUE,2018-01-23,cat,ready to adopt
5a64fe9ab73112061407f0a7,2018-01-30,TRUE,2018-01-21,cat,ready to adopt
5a67bcdc79830f68c4edb29a,2018-01-30,TRUE,2018-01-23,cat,ready for review
5a663ab9361e9cc297063fc9,2018-01-30,TRUE,2018-01-22,cat,"vet, not utd, questions"
5a6602cffd2be33ac826a5a9,2018-01-30,TRUE,2018-01-21,cat,"questions, vet, ready for review"
5a6a321c01fcb1d679fc2a70,2018-01-30,FALSE,NA,cat,ready to adopt
5a6d21a6ae4f161def4e37a8,2018-01-30,FALSE,NA,cat,"need to see id, vet, need info"
5a673cad2711ae3beb3d0929,2018-01-30,FALSE,NA,cat,"questions, ready for review"
5a70b60f024e293ff6967136,2018-01-30,FALSE,2018-01-22,cat,ready to adopt
5a663bb22bb181b25ce36321,2018-01-29,FALSE,2018-01-22,cat,ready to adopt
5a6cdcd1ac6135701b11923c,2018-01-29,FALSE,NA,cat,denied
5a669e78caf5794a0472ef90,2018-01-29,FALSE,2018-01-22,cat,"not utd, adopted elsewhere"
5a6d23b8ac5faedf821cd098,2018-01-29,TRUE,2018-01-27,cat,ready to adopt
5a6b8830e75cf91dd1aa6cba,2018-01-29,FALSE,NA,cat,need info
5a6e581eb24f2752e2c37673,2018-01-29,FALSE,NA,cat,ready to adopt
5a6f62d890e845cf88e759db,2018-01-29,FALSE,2018-01-29,cat,checks
5a626f207ca7664e8ac13576,2018-01-29,FALSE,2018-01-19,cat,not utd
5a6d210c644e65c6f196ae8d,2018-01-29,TRUE,2018-01-27,cat,ready for review
5a6e145673cb25bb54385f9e,2018-01-28,FALSE,NA,cat,ready to adopt
5a67bc1adfcea93994ad4b23,2018-01-28,TRUE,2018-01-23,cat,"returned, red flag, manager decision, denied"
5a43dd7db044ea658876b34f,2018-01-28,FALSE,NA,cat,ready for review
5a15b80fa091e78c28f1ec4c,2018-01-28,FALSE,2017-11-21,cat,ready for review
5a66539906a87203011b59cb,2018-01-27,FALSE,2018-01-22,cat,"need info, questions, vet"
5a6756afea5f3f7bc20ebd17,2018-01-27,FALSE,2018-01-22,cat,ready to adopt
5a6a4e5264b6c6993672c147,2018-01-27,FALSE,NA,cat,questions
5a6cb542e03a746f6c2d5dc9,2018-01-27,FALSE,NA,cat,ready to adopt
5a6a059021ea8bb11d7da87b,2018-01-26,FALSE,2018-01-19,cat,"vet, questions"
5a64daf2d65d32ceb05f0e3d,2018-01-26,TRUE,2018-01-21,cat,"need to see id, vet, adopted elsewhere"
5a5efc14e6aa73321bd20158,2018-01-26,TRUE,2018-01-15,cat,ready to adopt
5a6b7c3f1e365dbbe3872c7e,2018-01-26,FALSE,2018-01-26,cat,not utd
5a63cf112e6dabe813617f70,2018-01-25,FALSE,NA,cat,"need to see id, red flag, need info, vet"
5a68bef2e3ff72f85c7177d4,2018-01-25,FALSE,2018-01-23,cat,ready to adopt
5a626f662a9b15a5dc712730,2018-01-24,TRUE,2018-01-19,cat,"ready for review, declaw only, questions"
5a67c145feb8d2648e26fe5c,2018-01-24,FALSE,2018-01-23,cat,ready to adopt
5a63c8cf5406db3ec4eb7d50,2018-01-24,FALSE,2018-01-20,cat,"need to see id, vet, red flag, not utd, rescue check"
5a6271675ae3b694c68efc82,2018-01-23,FALSE,2018-01-19,cat,ready to adopt
5a452ca46c8e615febdd19b1,2018-01-23,TRUE,2017-12-30,cat,denied
5a663b8d66e6387623d9deee,2018-01-23,TRUE,2018-01-22,cat,"not utd, vet"
5a6603a1f6af2f9ece73ed4d,2018-01-23,TRUE,2018-01-20,cat,"need info, vet"
5a626fe4669e1ef623ee50f3,2018-01-23,FALSE,2018-01-19,cat,ready to adopt
5a6384c3c3c5d794453e6b95,2018-01-23,TRUE,2018-01-20,cat,ready to adopt
5a626e80d35d59198a18c474,2018-01-23,FALSE,2018-01-19,cat,ready for review
5a626e5b39858f317141be5d,2018-01-23,FALSE,2018-01-19,cat,"questions, vet"
5a610cdc9b825776cd79e8b5,2018-01-23,FALSE,2018-01-18,cat,"questions, vet"
5a5efc11bb3f94660e92fa74,2018-01-23,FALSE,2018-01-16,cat,"questions, ready for review, red flag"
5a63d00cd7bcf84f79323948,2018-01-23,FALSE,NA,cat,ready for review
5a63c717482a80537027b3f4,2018-01-23,FALSE,2018-01-20,cat,"ready for review, questions"
5a650733a17d4830e67f95c5,2018-01-22,FALSE,2018-01-21,cat,"vet, manager decision"
5a65146738269143672ea289,2018-01-22,TRUE,2018-01-21,cat,ready to adopt
5a51043938ba66b72e2c13f5,2018-01-22,TRUE,2018-01-06,cat,ready to adopt
5a65100274bc6178751c598d,2018-01-22,FALSE,NA,cat,ready for review
5a63cde47c2232440af0b044,2018-01-22,TRUE,2018-01-20,cat,ready to adopt
5a5d295a37233e2356aec125,2018-01-22,FALSE,NA,cat,ready to adopt
5a651cb55bdeea84d5e773fc,2018-01-21,FALSE,2018-01-21,cat,vet
5a05e4e0238aa2afc713daeb,2018-01-21,TRUE,2017-11-10,cat,ready to adopt
5a64f8e8c02054c80de02830,2018-01-21,FALSE,2018-01-21,cat,ready to adopt
5a63c9e7bc5a1194feec6e8c,2018-01-21,FALSE,NA,cat,ready to adopt
5a64ebf9b36b20b95eb4937d,2018-01-21,FALSE,2018-01-21,cat,ready to adopt
59c69bde1ab592e7c9c32755,2018-01-21,TRUE,2017-09-23,cat,ready to adopt
5a5906878fd94f9c99874e42,2018-01-21,FALSE,2018-01-12,cat,ready to adopt
5a63b329f81cd54496565eaa,2018-01-20,FALSE,2018-01-20,cat,ready to adopt
5a626f9175229094f8cb7b20,2018-01-20,FALSE,NA,cat,"vet, need info, questions"
5a6126c2f9e2a5035ecbc570,2018-01-20,FALSE,NA,cat,"red flag, ready for review"
59f4f20d28873f0f3eea03c3,2018-01-20,FALSE,NA,cat,"ready for review, ready to adopt"
5a5bf64415f2e36a33fd9c4a,2018-01-20,TRUE,2018-01-14,cat,"questions, red flag"
5a5d43161c9814c9b0c4d65b,2018-01-20,TRUE,2018-01-15,cat,"pet policy, not utd"
5a627f9d5bef53b8c52dbe9a,2018-01-20,FALSE,NA,cat,ready to adopt
5a5d2c73d271fc3a9a06eaee,2018-01-20,FALSE,2018-01-15,cat,ready for review
5a62734865e7a4e833e38025,2018-01-19,FALSE,2018-01-19,cat,ready for review
5a5e76808e426c54265ef103,2018-01-19,TRUE,2018-01-16,cat,denied
5a626961ff776094954f9c0a,2018-01-19,FALSE,NA,cat,ready to adopt
5a5e8f4eff12a3f0746445fa,2018-01-19,FALSE,2018-01-16,cat,"need info, vet"
5a2c75e782479e35b3d97bb3,2018-01-19,TRUE,2017-12-09,cat,ready for review
5a5efbfd1bbf52d4d15ab1f6,2018-01-19,FALSE,2018-01-16,cat,"need info, ready for review"
5a5efc04041cce119d0eee34,2018-01-19,TRUE,2018-01-16,cat,ready to adopt
5a60a09acc71bfceb210b2a4,2018-01-19,FALSE,NA,cat,ready to adopt
5a5e837397ab4f11c1c52ff3,2018-01-19,FALSE,2018-01-15,cat,ready to adopt
5a5d2bdbec5aef6aa1b5c017,2018-01-19,FALSE,2018-01-15,cat,ready to adopt
5a5b66a9434efc69dc8d6eec,2018-01-19,FALSE,2018-01-13,cat,"not utd, need to see id, declaw only"
5a59116059e1807aa1780a9f,2018-01-19,FALSE,NA,cat,ready to adopt
5a5a45a28d84649e0c980304,2018-01-18,FALSE,2018-01-12,cat,ready to adopt
5a60e62c7cc4c173f682cfa6,2018-01-18,FALSE,2018-01-18,cat,"need info, vet, declaw only"
5a5d2a5c63b93f7b031ca2e3,2018-01-18,FALSE,2018-01-14,cat,"vet, questions, need info"
5a61078147a0822e95cd4959,2018-01-18,FALSE,NA,cat,red flag
5a5a819d11e8f3a701e15728,2018-01-18,FALSE,2018-01-13,cat,"questions, ready for review"
5a5f9bbf3c7ba297c7de6244,2018-01-18,FALSE,2018-01-16,cat,ready for review
5a5cfd83210c302f781f021b,2018-01-18,FALSE,2018-01-15,cat,ready for review
5a5fc822ac8842e1d5aca5c0,2018-01-18,TRUE,2018-01-17,cat,"vet, questions"
5a5efbffbdd938c58a5ebdc4,2018-01-18,FALSE,NA,cat,ready to adopt
5a5efbfa8bbc686cdaa345c1,2018-01-18,FALSE,2018-01-16,cat,"need info, vet"
5a4bb83b0b8002ab7e046ce6,2018-01-18,FALSE,NA,cat,ready to adopt
5a60a0a1cfd00ec24f56f30d,2018-01-18,FALSE,2018-01-17,cat,ready for review
5a60a09e9841b0be5a13f121,2018-01-18,FALSE,2018-01-17,cat,"questions, ready for review"
5a5d29ca8ce730175f317019,2018-01-17,FALSE,2018-01-14,cat,"vet, questions"
5a5d44eec875ed232b0b2085,2018-01-17,FALSE,2018-01-08,cat,"pet policy, questions"
5a5d2c28b21224a8a4aa1185,2018-01-17,FALSE,2018-01-15,cat,ready to adopt
5a5ca823b8f0da2faad9034d,2018-01-16,TRUE,2018-01-14,cat,ready to adopt
5a5d0e0c9cc719bc464b393a,2018-01-16,FALSE,2018-01-15,cat,"declaw only, questions, need info, vet"
5a5a891223ef1dafcf335f61,2018-01-16,FALSE,NA,cat,"manager decision, questions"
5a5a8cc7240b62ac0fd1ef6d,2018-01-16,FALSE,2018-01-13,cat,"vet, red flag"
5a5bd035b0de185da02916eb,2018-01-16,TRUE,2018-01-14,cat,"need to see id, ready for review"
5a5a552b9e026167885e95c3,2018-01-16,FALSE,NA,cat,"vet, need info"
5a5d4604c2c235a8a53ab234,2018-01-16,FALSE,2018-01-15,cat,"red flag, manager decision"
5a5d4481492d94d117d125f7,2018-01-16,FALSE,2018-01-15,cat,ready to adopt
5a5504a360a4d511ac98c477,2018-01-15,FALSE,2018-01-09,cat,ready to adopt
59de4a1f10b9897da88c606d,2018-01-15,TRUE,2017-10-10,cat,"questions, red flag, pet policy, denied"
5a5bcfaeb6de2a6c7f47fb10,2018-01-15,FALSE,2018-01-14,cat,ready to adopt
59fe1fcff76375b0651b4250,2018-01-14,TRUE,2017-11-04,cat,ready to adopt
5a5a4b80ce19aea69fb62055,2018-01-14,FALSE,2018-01-13,cat,not utd
5a5a66304a5f3b2f6771605f,2018-01-13,FALSE,NA,cat,NA
5a5a844938a4986f9ccd0cc9,2018-01-13,FALSE,NA,cat,ready to adopt
5a592ac4a9366fd6effe7103,2018-01-13,TRUE,2018-01-12,cat,"ready for review, ready to adopt"
5a58e9283abe2f63eabf3dd2,2018-01-13,FALSE,NA,cat,ready to adopt
57c1dd89b1fbebf1243caa11,2018-01-13,FALSE,NA,cat,ready to adopt
5a58ea33e51006f2998b7151,2018-01-12,TRUE,2018-01-12,cat,ready to adopt
5a5257ed9c3881fd76c8e45f,2018-01-12,FALSE,NA,cat,ready to adopt
5a4672d3a8c4f2bf5d5c5c8c,2018-01-12,FALSE,NA,cat,ready to adopt
59e94cb65d69b102f948b142,2018-01-12,FALSE,NA,cat,ready to adopt
5a59351e0e3a22e42b70bc28,2018-01-12,FALSE,2018-01-12,cat,ready to adopt
5a58eb5edb4eec7ca7bc2a4d,2018-01-12,FALSE,NA,cat,pet policy
5a58f44f9a103c033554b836,2018-01-12,FALSE,NA,cat,pet policy
58ebef874f1f1f8a699ad8fd,2018-01-12,FALSE,NA,cat,denied
5a58eaa389ad891b7d73bdd8,2018-01-12,TRUE,2018-01-11,cat,ready for review
5a57b4aab507592e28e84bec,2018-01-12,FALSE,2018-01-11,cat,"red flag, rescue check, manager decision"
5a58e9f75fbc8b3352d794a4,2018-01-12,FALSE,2018-01-12,cat,ready for review
5a4d6d3f0742a7278fb4911f,2018-01-12,FALSE,2018-01-03,cat,ready to adopt
5a512ec17ab043e2745df456,2018-01-11,TRUE,2018-01-06,cat,ready for review
57d0364e2d26131b71a389e1,2018-01-11,FALSE,NA,cat,ready to adopt
5a57ca6ca84c1a5567d03f62,2018-01-11,TRUE,2018-01-10,cat,"not utd, questions"
5a5543d6c5d3871417689f05,2018-01-11,FALSE,2018-01-09,cat,ready to adopt
5a51526640f1385a9e03f987,2018-01-11,FALSE,2018-01-06,cat,ready to adopt
5a15a35edd21acc4782cf495,2018-01-11,FALSE,2017-11-22,cat,ready to adopt
5a386a6bf0f0982c9698ecfd,2018-01-11,TRUE,2017-12-17,cat,ready to adopt
5a51563c5e64fb3189b7c173,2018-01-10,TRUE,2018-01-06,cat,ready for review
5a526d5e237842769860e840,2018-01-10,TRUE,2018-01-06,cat,"declaw only, ready to adopt"
5a5156c4b8634dd5b5d70f08,2018-01-10,FALSE,2018-01-06,cat,"declaw only, denied"
5a53aaf20942067f87d7e360,2018-01-10,FALSE,2018-01-08,cat,ready for review
5a563bfc2d06079e6f9be62d,2018-01-10,FALSE,2018-01-05,cat,ready for review
5998b5935427828ec50c649c,2018-01-10,FALSE,NA,cat,ready for review
5a555bbff92474021e7b2212,2018-01-10,FALSE,2018-01-09,cat,"ready for review, dog meet"
5a5551505e5eff1c5f241d25,2018-01-09,FALSE,2018-01-09,cat,ready for review
5a5394d56aab128830e72a4d,2018-01-09,FALSE,2018-01-07,cat,ready for review
5a54f6373b028fbfcc29dd29,2018-01-09,FALSE,2018-01-08,cat,ready for review
5a36cf9903b689f4975c8136,2018-01-09,FALSE,2017-12-17,cat,ready to adopt
5a28234f970f0039fb29d569,2018-01-09,TRUE,2017-12-06,cat,ready to adopt
5a05e1ed7a7aa80a5935a6af,2018-01-09,FALSE,2017-11-08,cat,ready to adopt
5a539503c990c6fd5630c6b3,2018-01-09,FALSE,2018-01-07,cat,"need to see id, vet"
5a515318ee9c0e9691a5fcf7,2018-01-09,FALSE,2018-01-06,cat,ready for review
5a38673e79356fbe1bd6a804,2018-01-08,FALSE,2017-12-16,cat,vet
5a53cad6c7a7dc76a5fb999c,2018-01-08,TRUE,2018-01-07,cat,ready to adopt
5a53dfbeeaf5c37a74f636e0,2018-01-08,FALSE,2018-01-08,cat,ready to adopt
5a53946b225d7da865297c02,2018-01-08,FALSE,2018-01-06,cat,checks
5a4bc0f0772add7120770375,2018-01-08,TRUE,2018-01-01,cat,ready to adopt
5a51380f70a9d5243358921b,2018-01-08,FALSE,2018-01-06,cat,ready for review
5a4d3206083e5171a12900b0,2018-01-07,FALSE,NA,cat,ready to adopt
5a514e37c12a3a34b4a9ba91,2018-01-07,FALSE,NA,cat,ready to adopt
5a5004e9ed4c33625f03ce80,2018-01-07,FALSE,2018-01-04,cat,ready for review
5a514f4b7d6e58e331cf00e0,2018-01-07,FALSE,NA,cat,ready to adopt
5a515feac9ca0b341caa5363,2018-01-06,FALSE,2018-01-06,cat,ready to adopt
5a5155b2947cb3770460ba27,2018-01-06,FALSE,2018-01-06,cat,ready for review
5a01d2906f38686cd25df936,2018-01-06,FALSE,NA,cat,ready for review
5a4fb87a12109192bb7dd4b0,2018-01-06,FALSE,NA,cat,ready to adopt
582e04b742633717e93aeb72,2018-01-06,FALSE,NA,cat,ready to adopt
59f600925e94602ca798bc13,2018-01-06,FALSE,NA,cat,ready to adopt
5a493042c89c2ba0ba0b2a84,2018-01-06,FALSE,NA,cat,ready to adopt
5a511e30baa8c74166221727,2018-01-06,FALSE,2018-01-06,cat,ready to adopt
59f86962a4d083f0f2fd4574,2018-01-06,FALSE,2017-10-30,cat,ready to adopt
5a511cad448039712dabd958,2018-01-06,FALSE,NA,cat,ready to adopt
5a4b83856b7b0705358e44e6,2018-01-06,FALSE,2017-12-31,cat,"questions, ready for review"
5a4e57a8b1d1ff0092ff5c1c,2018-01-06,FALSE,2018-01-04,cat,"vet, need info"
5a4d3ef115b99e2f56947d2d,2018-01-05,TRUE,2018-01-02,cat,ready to adopt
5a4d19ee4a3a2a2d25475004,2018-01-05,FALSE,NA,cat,ready for review
5a4c281a2af31599ca6f0c3f,2018-01-05,FALSE,2017-12-27,cat,vet
5a4d3e4708a87f309950931a,2018-01-05,TRUE,2018-01-03,cat,"ready for review, declaw only"
5a47bbb71090560f318c4c07,2018-01-05,TRUE,2017-12-28,cat,"vet, questions"
5a4d334ec912ca0bd80a34d6,2018-01-05,FALSE,NA,cat,"red flag, manager decision, declaw only"
5a4bbaebb8b6bc4fd3c08afa,2018-01-05,FALSE,NA,cat,not utd
5a4fc0e9dffd53d5bc8749d0,2018-01-05,FALSE,NA,cat,ready to adopt
5a4914624fde545fad896576,2018-01-05,FALSE,NA,cat,"ready for review, adopted elsewhere"
5a47ef6187b0b2ac2b0059b0,2018-01-04,TRUE,2017-12-30,cat,ready to adopt
5a4530b0ff1caeef37f2f512,2018-01-04,FALSE,2017-12-28,cat,"ready for review, manager decision"
5a287008e993846300630b61,2018-01-04,FALSE,NA,cat,NA
5a4bb6acffaee42004563a5f,2018-01-04,FALSE,2017-12-31,cat,"red flag, pet policy"
5a47d2553350a796cae5f37d,2018-01-04,FALSE,2017-12-30,cat,ready to adopt
5a4c2966d690e5f027a2f127,2018-01-04,FALSE,2017-12-27,cat,"ready to adopt, ready for review"
5a4c29f6117092791e1bad00,2018-01-04,FALSE,2017-12-27,cat,ready to adopt
5a4d6d76d8322a0c4c915b9b,2018-01-04,FALSE,2018-01-03,cat,ready for review
5a468d2d72c639c117a1f219,2018-01-03,FALSE,NA,cat,ready to adopt
5a4bbb75f99273096a5b7a91,2018-01-03,FALSE,2018-01-01,cat,"ready for review, questions"
5a4bbb46d6b56d122eaec665,2018-01-03,FALSE,2017-12-31,cat,ready for review
5a4bf7b7c8e70af12f6d760c,2018-01-03,TRUE,2017-12-31,cat,ready for review
5a4550233d3d1af3a2921eaf,2018-01-02,TRUE,2017-12-28,cat,ready for review
5a4932bcbaf3f40d726cc23a,2018-01-02,FALSE,NA,cat,ready to adopt
5a42d373293bd572e21c24b9,2018-01-02,TRUE,2017-12-26,cat,not utd
598f4b4a01b648d9f0fb076d,2018-01-02,FALSE,2017-08-12,cat,vet
5a45549dc4e103ab9fd046d1,2018-01-02,FALSE,NA,cat,ready for review
5a4692c0ddc79eed6a33fddb,2017-12-31,TRUE,2017-12-28,cat,ready to adopt
5a4820bb4b551abc0de83195,2017-12-31,FALSE,NA,cat,ready for review
5a3c5aa2c5fb6925bda4fa00,2017-12-31,FALSE,NA,cat,not utd
590cdaff76a99a5c5ae51b23,2017-12-31,FALSE,NA,cat,"ready to adopt, ready for review"
5a47ffa00fec79ef4af50ff7,2017-12-30,FALSE,NA,cat,ready to adopt
5a4809320aa6fe60b99a4774,2017-12-30,FALSE,NA,cat,ready for review
5a468cd6f6afae0dc2465dff,2017-12-30,TRUE,2017-12-28,cat,"questions, ready for review"
5a47bad71a1fc594a337c4a3,2017-12-30,FALSE,NA,cat,ready to adopt
5a46be477bd2380fe3917dae,2017-12-30,TRUE,2017-12-29,cat,ready for review
5a47bc861de45dbfb5af43fb,2017-12-30,TRUE,2017-12-28,cat,"ready for review, adopted elsewhere"
5a469123d5d604b955e5fbd0,2017-12-30,FALSE,2017-12-27,cat,ready to adopt
5a3ff7d998beb65d885ce7c3,2017-12-30,FALSE,NA,cat,ready to adopt
5a42b7a2c964e07cb3f21e46,2017-12-30,FALSE,NA,cat,"questions, ready for review"
5a384eed296033ba3eeff501,2017-12-30,FALSE,NA,cat,ready to adopt
5a454b497f98d5d63e43f299,2017-12-29,FALSE,2017-12-02,cat,"red flag, manager decision, vet"
5a3fe2e94a867b0d02aa25e1,2017-12-29,TRUE,2017-12-23,cat,ready for review
5a3aa077578129e528064778,2017-12-29,FALSE,2017-12-19,cat,red flag
5a36f50050c905d8729cc323,2017-12-29,FALSE,2017-12-17,cat,"ready for review, red flag"
5a46642f2d3c49966d0f9d1e,2017-12-29,FALSE,2017-12-27,cat,ready for review
5a452dca260ec02e32c8f682,2017-12-29,FALSE,2017-12-26,cat,"vet, need info"
5a4428a2469004a5426f01cc,2017-12-29,FALSE,2017-12-27,cat,ready for review
5a42de07966b7605de064a9b,2017-12-29,TRUE,2017-12-26,cat,ready for review
5a3ac87a68d2531e0e10f659,2017-12-29,FALSE,2017-12-20,cat,"rescue check, vet"
5a428c86a16627469bdb6495,2017-12-29,TRUE,2017-12-28,cat,denied
5a3c440c5fa42d256f1d35c8,2017-12-29,FALSE,NA,cat,denied
5a4429e89271837300ecf9b3,2017-12-29,TRUE,2017-12-27,cat,ready for review
5a245b0e9389cb08e4b6dad3,2017-12-29,FALSE,2017-11-26,cat,"ready to adopt, unsure foster or adopt"
5a455779a118361ff7bfd04b,2017-12-29,TRUE,2017-12-27,cat,ready to adopt
5a4575cb8d016ba090175ca1,2017-12-28,FALSE,NA,cat,ready to adopt
5967d74a761a9a701e80e5fa,2017-12-28,FALSE,2017-07-13,cat,"vet, questions"
5a3ec038c7a96422004c10d6,2017-12-28,FALSE,NA,cat,not utd
5a3eb0d3e2a254b01b7381f2,2017-12-28,FALSE,NA,cat,ready to adopt
5a42a9c9011b79ca1379c553,2017-12-28,TRUE,2017-12-26,cat,"vet, questions"
59f49edfcfba1df97611437b,2017-12-27,FALSE,NA,cat,"vet, returned, questions"
5a3d554207e351e61cff9cb1,2017-12-26,FALSE,2017-12-21,cat,ready for review
5a3fd15bc5acb53a88f7b304,2017-12-26,FALSE,NA,cat,"vet, need info"
5a42a97c2163567cbc7ba065,2017-12-26,TRUE,2017-12-26,cat,"questions, red flag"
5a3d451bff54bccf6edbf564,2017-12-26,FALSE,NA,cat,ready to adopt
5a36ce8e2546edc2e8ff1679,2017-12-26,TRUE,2017-12-17,cat,vet
5a318dfb4b2b14ad1909e755,2017-12-26,FALSE,2017-12-13,cat,ready to adopt
5a3fed2a440d42e687f0bd92,2017-12-26,FALSE,NA,cat,ready for review
5a3d5570b21bebbd5cfd871c,2017-12-26,FALSE,NA,cat,ready for review
5a3ff2d62817d5b6117960e8,2017-12-24,FALSE,2017-12-24,cat,ready to adopt
5a35d119fe8840c545a720c0,2017-12-24,FALSE,2017-12-16,cat,ready to adopt
5a3fd46db6c2b87a1491bcf1,2017-12-24,FALSE,NA,cat,declaw only
5a3fcf163c299bd370d3dd48,2017-12-24,FALSE,2017-12-23,cat,ready for review
5a3d8010683f5be6a7b35da3,2017-12-23,FALSE,2017-12-22,cat,ready for review
5a3d51c2fa5cf6b5a08d915b,2017-12-23,FALSE,2017-12-22,cat,ready for review
5a38686992054a97f95c4c25,2017-12-23,FALSE,2017-12-15,cat,ready to adopt
5a3d89d3419ab5a21b0f04f4,2017-12-23,TRUE,2017-12-22,cat,ready to adopt
5a384cc68d6af5beb9b0fb00,2017-12-23,FALSE,2017-12-18,cat,"need info, questions, red flag, declaw only"
5a386923c134dce3805db8f3,2017-12-23,FALSE,2017-12-15,cat,"returned, ready to adopt, ready for review"
5a3c4919c3ce30c036ac5571,2017-12-23,FALSE,2017-12-21,cat,"not utd, ready for review"
5a3d886511385bd98e45d1ea,2017-12-23,TRUE,2017-12-22,cat,ready for review
5a3975f17e1b0aa0eee48e43,2017-12-23,FALSE,2017-12-19,cat,ready to adopt
5a392e57af57699790fc59ce,2017-12-22,TRUE,2017-12-18,cat,"red flag, manager decision"
5a3869bcfe23fc36e6cea7af,2017-12-22,FALSE,NA,cat,"questions, vet, ready for review"
5a3d64bb655425e526ca4494,2017-12-22,FALSE,2017-12-22,cat,"ready for review, red flag"
5a383cc4b6d6928b3a04e6a6,2017-12-22,FALSE,2017-12-18,cat,not utd
5a3c0d2bf1e93efd6c7ad6a9,2017-12-22,TRUE,2017-12-21,cat,not utd
5a3d550366cf7d6752141121,2017-12-22,FALSE,2017-12-20,cat,ready for review
5a3d54d541dd31b5c465e2f0,2017-12-22,FALSE,2017-12-22,cat,"questions, need info, vet"
5a185518f4d6b77f01b41599,2017-12-22,FALSE,2017-11-29,cat,ready for review
5a3d52b562a078254811a96a,2017-12-22,FALSE,2017-12-22,cat,ready for review
5a3d54512cb5bccfabb4473e,2017-12-22,FALSE,2017-12-21,cat,ready for review
5a3d6db938d034b5418aaee0,2017-12-22,FALSE,NA,cat,ready to adopt
5a3d3ad880520ce6731ffed8,2017-12-22,FALSE,NA,cat,ready for review
5a3d55a96e1dcad4048f35a7,2017-12-22,FALSE,2017-12-20,cat,"red flag, need info, vet"
5a3d5e371d536fb14f2c0ad3,2017-12-22,FALSE,NA,cat,ready for review
5a39a34bd7f5174e768c95bb,2017-12-22,TRUE,2017-12-19,cat,"manager decision, red flag"
5a36e046fbb61eb4ac7354ca,2017-12-22,FALSE,2017-12-17,cat,"questions, ready for review"
5997558346aee779202b9220,2017-12-22,FALSE,2017-08-18,cat,ready for review
5a32e68a8fcc17d37fa0f5b2,2017-12-22,FALSE,NA,cat,"vet, need info"
5a397669e710bd0b12e34a96,2017-12-22,TRUE,2017-12-19,cat,ready to adopt
5a3851504b9bc3c4809314fe,2017-12-22,FALSE,2017-12-17,cat,"need to see id, ready for review"
5a35d03bef781b8df81ba200,2017-12-21,FALSE,2017-12-16,cat,"red flag, vet, questions"
5a397430a71fbbe54bf87a80,2017-12-21,FALSE,2017-12-18,cat,"need info, vet"
5a3977f2860604c06c11460b,2017-12-21,FALSE,2017-12-19,cat,"questions, ready for review"
5a3c2eedc3bf2c83679f2be6,2017-12-21,FALSE,NA,cat,ready to adopt
5a3a9f94e7d43e856380a8c0,2017-12-21,FALSE,2017-12-20,cat,ready to adopt
5a3c1884f5b44818dd1ab87f,2017-12-21,FALSE,2017-12-21,cat,"need info, vet"
5a3aa0342476e02d45c4dea3,2017-12-21,TRUE,2017-12-19,cat,"vet, pet policy, not utd"
5a35d08d317f9a95a67b0d5c,2017-12-21,TRUE,2017-12-16,cat,ready to adopt
5a31ac78ae6229586245933b,2017-12-21,FALSE,2017-12-13,cat,ready to adopt
5a36eaea1e9e6ab5e0e0cfac,2017-12-21,TRUE,2017-12-17,cat,ready to adopt
5a318c3db31c01b7e2071107,2017-12-21,FALSE,2017-12-13,cat,"vet, need info"
5a3b163a5d0272906e01bf0d,2017-12-21,FALSE,2017-12-20,cat,"vet, questions"
5a3a9edbc571b65945d622da,2017-12-21,FALSE,2017-12-20,cat,"vet, questions, need info"
5a3979e40e6404587c8d9780,2017-12-21,FALSE,2017-12-18,cat,"need to see id, ready for review"
5a36ded805d9cd740ba9f400,2017-12-21,FALSE,2017-12-17,cat,vet
5a36ce234cfa5753dad58dc4,2017-12-21,FALSE,2017-12-17,cat,ready for review
5a3abe2b198c829f3c6001e1,2017-12-21,FALSE,2017-12-20,cat,ready for review
5a3aeefc529d939d6362f150,2017-12-21,FALSE,2017-12-20,cat,"vet, questions"
5a39751d8effd77c299cdeec,2017-12-21,FALSE,2017-12-18,cat,"need to see id, need info, vet"
5a3ae900a478769af5fbb8f5,2017-12-21,FALSE,2017-12-20,cat,not utd
5a355979930359be494f888a,2017-12-20,FALSE,NA,cat,ready to adopt
